City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
159,Narsaq,60.9167,-46.05,-2.11,78,13,7.09,GL,few clouds
160,Isugod,9.3408,118.1196,77.38,87,100,4.97,PH,overcast clouds
161,Naples Park,26.2617,-81.8093,69.98,90,31,1.01,US,scattered clouds
162,Yulara,-25.2406,130.9889,81.77,34,2,6.91,AU,clear sky
163,La Ronge,55.1001,-105.2842,7.05,85,100,6.91,CA,overcast clouds
164,Rawson,-43.3002,-65.1023,77.27,34,1,7.45,AR,clear sky
165,Vanimo,-2.6741,141.3028,77.02,89,98,0.83,PG,overcast clouds
166,Saint-Philippe,-21.3585,55.7679,78.39,79,80,11.7,RE,broken clouds
167,Roald,62.5833,6.1333,37.09,80,0,8.05,NO,clear sky
168,East London,-33.0153,27.9116,72.54,88,100,5.75,ZA,overcast clouds
169,Cabra,37.4725,-4.4421,49.95,62,8,3.06,ES,clear sky
170,Airai,-8.9266,125.4092,61.03,94,100,0.92,TL,overcast clouds
171,Moca,19.5,-70.5,77.05,61,20,9.22,DO,few clouds
172,Provideniya,64.3833,-173.3,-0.45,96,23,9.64,RU,few clouds
173,Kudahuvadhoo,2.6708,72.8944,79.57,64,79,13.78,MV,broken clouds
174,Severo-Kurilsk,50.6789,156.125,21.13,76,98,5.86,RU,overcast clouds
175,Vardo,70.3705,31.1107,31.98,74,0,19.57,NO,clear sky
176,Nuuk,64.1835,-51.7216,6.87,78,99,10.78,GL,overcast clouds
177,Zhigansk,66.7697,123.3711,-66.66,100,90,3.89,RU,overcast clouds
178,Ingham,42.6,-84.3833,29.17,79,100,11.5,US,overcast clouds
179,Kpandae,8.4689,-0.0113,89.92,13,71,4.05,GH,broken clouds
180,Namatanai,-3.6667,152.4333,77.95,84,81,3.8,PG,light rain
181,San Cristobal,7.7669,-72.225,78.98,45,72,5.28,VE,broken clouds
182,Broome,42.2506,-75.833,34.7,86,100,10.0,US,overcast clouds
183,Vao,-22.6667,167.4833,76.86,64,78,12.19,NC,broken clouds
184,Progreso,21.2833,-89.6667,75.11,71,41,18.95,MX,scattered clouds
185,Banff,51.1762,-115.5698,40.23,86,100,6.91,CA,overcast clouds
186,Male,4.1748,73.5089,80.55,69,75,6.91,MV,broken clouds
187,Bara,10.3744,10.7288,75.42,22,17,8.86,NG,few clouds
188,Kalmunai,7.4167,81.8167,75.29,76,84,6.69,LK,broken clouds
189,Nayoro,44.3506,142.4578,34.05,99,99,2.39,JP,light snow
190,Vila Franca Do Campo,37.7167,-25.4333,63.01,90,100,13.78,PT,overcast clouds
191,Krasnovishersk,60.4078,57.082,17.6,92,100,11.12,RU,overcast clouds
192,Pevek,69.7008,170.3133,-25.92,98,45,1.86,RU,scattered clouds
193,Deep River,46.1001,-77.4995,21.94,84,100,13.02,CA,overcast clouds
194,Torbay,47.6666,-52.7314,27.39,87,100,12.66,CA,overcast clouds
195,Qaqortoq,60.7167,-46.0333,1.06,85,14,6.85,GL,few clouds
196,Along,28.1667,94.7667,51.66,90,48,2.13,IN,scattered clouds
197,Geraldton,-28.7667,114.6,70.21,78,40,23.02,AU,scattered clouds
198,Beringovskiy,63.05,179.3167,-7.51,98,100,14.09,RU,overcast clouds
199,Sola,-13.8833,167.55,79.9,75,97,6.11,VU,overcast clouds
200,Oranjemund,-28.55,16.4333,63.59,83,7,15.99,NA,clear sky
201,Coihaique,-45.5752,-72.0662,65.01,48,75,9.22,CL,broken clouds
202,Sneek,53.033,5.6589,48.94,84,100,21.0,NL,overcast clouds
203,Gimli,50.6336,-96.9907,8.62,85,90,17.27,CA,overcast clouds
